year,Toyota,Ford,Chevrolet,Honda,Nissan,Volkswagen,Hyundai,Dodge,Renault,Suzuki,Peugeot,Mazda,Mercedes-Benz,Citroen,Kia,BMW
2005,4164227,3543466,3185428,2378965,2193370,1993914,1481435,1179860,1109957,978715,835660,784014,769719,754189,697873,688926
2006,10157273,8265288,6633383,5392586,4738191,5168932,3371605,2419932,2712991,2280416,2207791,1898819,1976184,1954889,1677983,1755583
2007,16839552,13379587,10655816,8809092,7689358,9150183,5607349,3706443,4477752,4407877,3796610,3155546,3312036,3302073,2768481,2936050
2008,23002740,17859016,14205903,12254065,10605566,13099757,7844378,4713020,6081837,6484530,5287837,4368057,4586391,4561739,3897979,4032650
2009,28547663,22085658,17278003,15421611,13334417,17398466,10625142,5193687,7576261,8599763,6741874,5448388,5687652,5861423,5274984,4982301
2010,34907916,26685783,21177249,18758013,16663044,22179690,13870349,5733911,9335017,11038592,8298942,6612828,6905756,7240971,7001050,6036080
2011,40748138,31770820,25622953,21656855,20464392,27718668,17432170,6336541,11268915,13413906,10674256,7755075,8241977,8588856,9149668,7240324
2012,48235634,36976097,30406871,25277546,24650082,33814462,21365840,7000724,13150094,15990983,12377837,8963529,9674569,9815141,11962798,8572245
2013,55927620,42736059,35241004,29313031,28941876,40090185,25602974,7743192,15072665,18564166,13986476,10211076,11267177,11027283,14410816,10020615
2014,63798628,48556472,39897774,33538714,33470563,46535555,30082892,8449948,17013903,21324603,15852986,11522407,13000770,12274204,17016131,11623314
2015,71743723,54613567,44182273,37955471,38114372,52761771,34662108,9090455,18996023,24004497,17803667,12972118,14954764,13383116,19729827,13330172
2016,79824945,60772598,48248639,42674254,42871503,59134669,39287626,9707482,21239490,26712278,19725662,14434308,17079753,14433458,22598746,15100420
2017,88188681,66859019,52346373,47744081,47872738,65730436,43460304,10255977,23614478,29769509,21306316,15962282,19415582,15425552,25199266,16956336
2018,96673865,72305429,56508554,52802012,52766372,72412748,47712998,10783171,25904204,32995840,22819984,17521769,21766785,16418882,27890067,18837251
2019,105252020,77320625,60399486,57777606,57264190,79033510,51910583,11265048,28112652,35912560,24231352,18981048,24234023,17381698,30571424,20821208
2020,112838301,81398178,63586433,62073079,60797991,84426749,55337925,11265048,29828662,38287316,24231352,20200000,26429036,17381698,33142941,22631726
2021,121149378,85145899,66108569,66312966,64247786,89335036,58944348,11265048,31415397,40951890,24231352,21418746,28477912,17381698,35905532,24610033
2022,129477240,88700524,68695422,69979812,67072692,94076037,62328338,11265048,32778245,43793680,24231352,22482712,30483998,17381698,38621823,26551322
2023,133820638,90783850,70188802,71829505,68628166,96394051,64155922,11265048,33504404,45242743,24231352,23107474,31558719,17381698,40129701,27593024
