,year,Toyota,Ford,Chevrolet,Honda,Nissan,Volkswagen,Hyundai,Dodge,Renault,Suzuki,Peugeot,Mazda,Mercedes-Benz,Citroen,Kia,BMW,year_exp
0,2005,4164227.0,3543466.0,3185428.0,2378965.0,2193370.0,1993914.0,1481435.0,1179860.0,1109957.0,978715.0,835660.0,784014.0,769719.0,754189.0,697873.0,688926.0,2005.0
1,2005,4403948.84,3732338.88,3323346.2,2499509.84,2295162.84,2120914.72,1557041.8,1229462.88,1174078.36,1030783.04,890545.24,828606.2,817977.6,802217.0,737077.4,731592.28,2005.04
2,2005,4643670.68,3921211.76,3461264.4,2620054.68,2396955.68,2247915.44,1632648.6,1279065.76,1238199.72,1082851.08,945430.48,873198.4,866236.2,850245.0,776281.8,774258.56,2005.08
3,2005,4883392.52,4110084.64,3599182.6,2740599.52,2498748.52,2374916.16,1708255.4,1328668.64,1302321.08,1134919.12,1000315.72,917790.6,914494.8,898273.0,815486.2,816924.84,2005.12
4,2005,5123114.36,4298957.52,3737100.8,2861144.36,2600541.36,2501916.88,1783862.2,1378271.52,1366442.44,1186987.16,1055200.96,962382.8,962753.4,946301.0,854690.6,859591.12,2005.16
5,2005,5362836.2,4487830.4,3875019.0,2981689.2,2702334.2,2628917.6,1859469.0,1427874.4,1430563.8,1239055.2,1110086.2,1006975.0,1011012.0,994329.0,893895.0,902257.4,2005.2
6,2005,5602558.04,4676703.28,4012937.2,3102234.04,2804127.04,2755918.3200000003,1935075.8,1477477.28,1494685.1600000001,1291123.24,1164971.44,1051567.2,1059270.6,1042357.0,933099.4,944923.6799999999,2005.24
7,2005,5842279.88,4865576.16,4150855.4000000004,3222778.88,2905919.88,2882919.04,2010682.6,1527080.16,1558806.52,1343191.28,1219856.68,1096159.4,1107529.2,1090385.0,972303.8,987589.96,2005.28
8,2005,6082001.72,5054449.04,4288773.6,3343323.7199999997,3007712.7199999997,3009919.76,2086289.4,1576683.04,1622927.88,1395259.32,1274741.92,1140751.6,1155787.8,1138413.0,1011508.2,1030256.24,2005.32
9,2005,6321723.5600000005,5243321.92,4426691.8,3463868.56,3109505.56,3136920.48,2161896.2,1626285.92,1687049.24,1447327.3599999999,1329627.16,1185343.8,1204046.4,1186441.0,1050712.6,1072922.52,2005.36
10,2005,6561445.4,5432194.8,4564610.0,3584413.4,3211298.4,3263921.2,2237503.0,1675888.8,1751170.6,1499395.4,1384512.4,1229936.0,1252305.0,1234469.0,1089917.0,1115588.8,2005.4
11,2005,6801167.24,5621067.68,4702528.2,3704958.24,3313091.24,3390921.92,2313109.8,1725491.68,1815291.96,1551463.44,1439397.6400000001,1274528.2,1300563.6,1282497.0,1129121.4,1158255.08,2005.44
12,2005,7040889.08,5809940.5600000005,4840446.4,3825503.08,3414884.08,3517922.64,2388716.6,1775094.56,1879413.32,1603531.48,1494282.88,1319120.4,1348822.2,1330525.0,1168325.8,1200921.3599999999,2005.48
13,2005,7280610.92,5998813.4399999995,4978364.6,3946047.92,3516676.92,3644923.3600000003,2464323.4,1824697.44,1943534.6800000002,1655599.52,1549168.12,1363712.6,1397080.7999999998,1378553.0,1207530.2,1243587.6400000001,2005.52
14,2005,7520332.76,6187686.32,5116282.800000001,4066592.76,3618469.76,3771924.08,2539930.2,1874300.3199999998,2007656.04,1707667.56,1604053.3599999999,1408304.7999999998,1445339.4,1426581.0,1246734.6,1286253.92,2005.56
15,2005,7760054.6,6376559.2,5254201.0,4187137.5999999996,3720262.5999999996,3898924.8,2615537.0,1923903.2,2071777.4,1759735.6,1658938.6,1452897.0,1493598.0,1474609.0,1285939.0,1328920.2,2005.6
16,2005,7999776.4399999995,6565432.08,5392119.2,4307682.4399999995,3822055.44,4025925.52,2691143.8,1973506.08,2135898.76,1811803.6400000001,1713823.8399999999,1497489.2,1541856.6,1522637.0,1325143.4,1371586.48,2005.64
17,2005,8239498.279999999,6754304.96,5530037.4,4428227.28,3923848.2800000003,4152926.24,2766750.6,2023108.96,2200020.12,1863871.6800000002,1768709.08,1542081.4,1590115.2,1570665.0,1364347.8,1414252.76,2005.68
